Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,701624,-,-,-,32.77,-96.82,-6,130,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2012,1,1,0,0,0,0,0,0.147,6.800000000000001,61.25,9,1000,N/A
2012,1,1,0,30,0,0,0,0.147,6.300000000000001,65.62,8,1000,N/A
2012,1,1,1,0,0,0,0,0.147,5.9,63.64,7,1000,N/A
2012,1,1,1,30,0,0,0,0.147,5.7,68.21000000000001,6,1000,N/A
2012,1,1,2,0,0,0,0,0.147,5.5,68.64,6,1000,N/A
2012,1,1,2,30,0,0,0,0.147,5.1000000000000005,73.60000000000001,5,1010,N/A
2012,1,1,3,0,0,0,0,0.147,4.7,73.96000000000001,5,1010,N/A
2012,1,1,3,30,0,0,0,0.147,4.2,79.34,4,1010,N/A
2012,1,1,4,0,0,0,0,0.147,3.8000000000000003,79.26,4,1010,N/A
2012,1,1,4,30,0,0,0,0.147,3.4000000000000004,85.08,3,1010,N/A
2012,1,1,5,0,0,0,0,0.147,3.1,84.35000000000001,3,1010,N/A
2012,1,1,5,30,0,0,0,0.147,2.9000000000000004,90.60000000000001,2,1010,N/A
2012,1,1,6,0,0,0,0,0.147,2.8000000000000003,89,2,1010,N/A
2012,1,1,6,30,0,0,0,0.147,2.7,89.06,2,1010,N/A
2012,1,1,7,0,0,0,0,0.147,2.7,87.56,2,1010,N/A
2012,1,1,7,30,0,0,0,0.147,3.2,81.61,3,1010,N/A
2012,1,1,8,0,24,472,63,0.147,3.7,76.88,4,1010,N/A
2012,1,1,8,30,38,669,154,0.147,3.8000000000000003,71.73,5,1010,N/A
2012,1,1,9,0,47,780,249,0.147,4,61.57,7,1010,N/A
2012,1,1,9,30,54,851,338,0.147,4.4,57.53,8,1010,N/A
2012,1,1,10,0,59,898,419,0.147,4.800000000000001,51.620000000000005,10,1010,N/A
2012,1,1,10,30,63,930,489,0.147,4.6000000000000005,48.27,10,1010,N/A
2012,1,1,11,0,66,951,544,0.147,4.4,45.04,11,1010,N/A
2012,1,1,11,30,68,965,585,0.147,4.2,45.02,11,1010,N/A
2012,1,1,12,0,69,972,609,0.147,4.1000000000000005,42.26,12,1010,N/A
2012,1,1,12,30,69,974,617,0.147,4.1000000000000005,42.25,12,1010,N/A
2012,1,1,13,0,69,970,609,0.147,4.1000000000000005,39.26,13,1010,N/A
2012,1,1,13,30,68,961,584,0.147,4.1000000000000005,39.26,13,1010,N/A
2012,1,1,14,0,66,946,544,0.147,4.1000000000000005,38.89,13,1010,N/A
2012,1,1,14,30,64,924,489,0.147,4,38.89,13,1010,N/A
2012,1,1,15,0,64,879,419,0.147,4,38.480000000000004,13,1010,N/A
2012,1,1,15,30,58,831,339,0.147,3.3000000000000003,41.08,12,1010,N/A
2012,1,1,16,0,51,760,250,0.147,2.7,49.230000000000004,11,1010,N/A
2012,1,1,16,30,41,647,156,0.147,2.3000000000000003,56.27,9,1010,N/A
