SiteID,793363,Site Timezone,-7,Data Timezone,-7,Longitude,-105.914154053,Latitude,35.6785049438
Year,Month,Day,Hour,Minute,wind speed at 100m (m/s),air temperature at 100m (C)
2007,1,1,0,0,1.42,-1.76
2007,1,1,0,5,1.28,-1.6400000000000001
2007,1,1,0,10,1.19,-1.53
2007,1,1,0,15,1.24,-1.45
2007,1,1,0,20,1.3900000000000001,-1.3800000000000001
2007,1,1,0,25,1.51,-1.33
2007,1,1,0,30,1.57,-1.28
2007,1,1,0,35,1.61,-1.23
2007,1,1,0,40,1.59,-1.19
2007,1,1,0,45,1.54,-1.17
2007,1,1,0,50,1.51,-1.18
2007,1,1,0,55,1.47,-1.21
2007,1,1,1,0,1.36,-1.25
2007,1,1,1,5,1.18,-1.3
2007,1,1,1,10,1.03,-1.34
2007,1,1,1,15,0.92,-1.34
2007,1,1,1,20,0.9,-1.32
2007,1,1,1,25,0.92,-1.26
2007,1,1,1,30,0.96,-1.18
2007,1,1,1,35,1.04,-1.08
2007,1,1,1,40,1.17,-0.96
2007,1,1,1,45,1.31,-0.8200000000000001
2007,1,1,1,50,1.44,-0.6900000000000001
2007,1,1,1,55,1.6,-0.61
2007,1,1,2,0,1.78,-0.6
2007,1,1,2,5,1.97,-0.67
2007,1,1,2,10,2.18,-0.77
2007,1,1,2,15,2.35,-0.87
2007,1,1,2,20,2.44,-0.93
2007,1,1,2,25,2.44,-0.9500000000000001
2007,1,1,2,30,2.37,-0.9500000000000001
2007,1,1,2,35,2.31,-0.9400000000000001
2007,1,1,2,40,2.3000000000000003,-0.93
2007,1,1,2,45,2.29,-0.92
2007,1,1,2,50,2.2800000000000002,-0.93
2007,1,1,2,55,2.2600000000000002,-0.96
2007,1,1,3,0,2.19,-0.99
2007,1,1,3,5,2.13,-1.03
2007,1,1,3,10,2.1,-1.05
2007,1,1,3,15,2.06,-1.06
2007,1,1,3,20,2.04,-1.06
2007,1,1,3,25,2,-1.06
2007,1,1,3,30,1.95,-1.07
2007,1,1,3,35,1.8900000000000001,-1.09
2007,1,1,3,40,1.81,-1.12
2007,1,1,3,45,1.7,-1.12
2007,1,1,3,50,1.61,-1.12
2007,1,1,3,55,1.52,-1.1
2007,1,1,4,0,1.44,-1.09
2007,1,1,4,5,1.33,-1.07
2007,1,1,4,10,1.22,-1.05
2007,1,1,4,15,1.1,-1.03
2007,1,1,4,20,1,-1.02
2007,1,1,4,25,0.93,-1.03
2007,1,1,4,30,0.9,-1.05
2007,1,1,4,35,0.87,-1.08
2007,1,1,4,40,0.87,-1.12
2007,1,1,4,45,0.89,-1.17
2007,1,1,4,50,0.9400000000000001,-1.24
2007,1,1,4,55,1.01,-1.3
2007,1,1,5,0,1.08,-1.34
2007,1,1,5,5,1.1500000000000001,-1.3800000000000001
2007,1,1,5,10,1.23,-1.42
2007,1,1,5,15,1.3,-1.46
2007,1,1,5,20,1.3800000000000001,-1.49
2007,1,1,5,25,1.47,-1.52
2007,1,1,5,30,1.55,-1.56
2007,1,1,5,35,1.6400000000000001,-1.6
2007,1,1,5,40,1.74,-1.6400000000000001
2007,1,1,5,45,1.78,-1.69
2007,1,1,5,50,1.75,-1.74
2007,1,1,5,55,1.72,-1.81
2007,1,1,6,0,1.75,-1.8800000000000001
2007,1,1,6,5,1.84,-1.92
2007,1,1,6,10,1.93,-1.95
2007,1,1,6,15,2.0100000000000002,-1.99
2007,1,1,6,20,2.02,-2.04
2007,1,1,6,25,1.99,-2.11
2007,1,1,6,30,1.97,-2.19
2007,1,1,6,35,1.97,-2.2800000000000002
2007,1,1,6,40,1.95,-2.38
2007,1,1,6,45,1.9000000000000001,-2.5
2007,1,1,6,50,1.8,-2.63
2007,1,1,6,55,1.7,-2.77
2007,1,1,7,0,1.6500000000000001,-2.89
2007,1,1,7,5,1.6600000000000001,-2.97
2007,1,1,7,10,1.7,-3.02
2007,1,1,7,15,1.75,-3
2007,1,1,7,20,1.84,-2.91
2007,1,1,7,25,1.95,-2.7600000000000002
2007,1,1,7,30,2.08,-2.5500000000000003
2007,1,1,7,35,2.22,-2.35
2007,1,1,7,40,2.33,-2.17
2007,1,1,7,45,2.42,-2
2007,1,1,7,50,2.52,-1.84
2007,1,1,7,55,2.67,-1.69
2007,1,1,8,0,2.86,-1.55
2007,1,1,8,5,3.0300000000000002,-1.42
2007,1,1,8,10,3.19,-1.31
2007,1,1,8,15,3.29,-1.22
2007,1,1,8,20,3.34,-1.16
2007,1,1,8,25,3.37,-1.12
2007,1,1,8,30,3.34,-1.11
2007,1,1,8,35,3.24,-1.1500000000000001
2007,1,1,8,40,3.06,-1.23
2007,1,1,8,45,2.89,-1.28
2007,1,1,8,50,2.73,-1.34
2007,1,1,8,55,2.6,-1.37
2007,1,1,9,0,2.45,-1.4000000000000001
2007,1,1,9,5,2.2600000000000002,-1.46
2007,1,1,9,10,2.08,-1.54
2007,1,1,9,15,1.98,-1.58
2007,1,1,9,20,1.99,-1.6
2007,1,1,9,25,2.04,-1.61
2007,1,1,9,30,2.07,-1.61
2007,1,1,9,35,2.11,-1.6400000000000001
2007,1,1,9,40,2.1,-1.7
2007,1,1,9,45,2.1,-1.75
2007,1,1,9,50,2.09,-1.79
2007,1,1,9,55,2.09,-1.81
2007,1,1,10,0,2.1,-1.82
2007,1,1,10,5,2.09,-1.84
2007,1,1,10,10,2.04,-1.8800000000000001
2007,1,1,10,15,1.99,-1.9100000000000001
2007,1,1,10,20,1.93,-1.94
2007,1,1,10,25,1.86,-1.95
2007,1,1,10,30,1.81,-1.95
2007,1,1,10,35,1.79,-1.94
2007,1,1,10,40,1.81,-1.92
2007,1,1,10,45,1.83,-1.8800000000000001
2007,1,1,10,50,1.85,-1.85
2007,1,1,10,55,1.8900000000000001,-1.82
2007,1,1,11,0,1.97,-1.77
2007,1,1,11,5,2.05,-1.7
2007,1,1,11,10,2.14,-1.6400000000000001
2007,1,1,11,15,2.21,-1.58
2007,1,1,11,20,2.24,-1.53
2007,1,1,11,25,2.25,-1.49
2007,1,1,11,30,2.25,-1.44
2007,1,1,11,35,2.2600000000000002,-1.37
2007,1,1,11,40,2.25,-1.3
2007,1,1,11,45,2.25,-1.25
2007,1,1,11,50,2.25,-1.23
2007,1,1,11,55,2.24,-1.21
2007,1,1,12,0,2.23,-1.18
2007,1,1,12,5,2.22,-1.1500000000000001
2007,1,1,12,10,2.22,-1.12
2007,1,1,12,15,2.2,-1.09
2007,1,1,12,20,2.19,-1.07
2007,1,1,12,25,2.17,-1.05
2007,1,1,12,30,2.14,-1.01
2007,1,1,12,35,2.11,-0.96
2007,1,1,12,40,2.09,-0.91
2007,1,1,12,45,2.08,-0.89
2007,1,1,12,50,2.07,-0.87
2007,1,1,12,55,2.04,-0.85
2007,1,1,13,0,2.02,-0.8200000000000001
2007,1,1,13,5,2.02,-0.78
2007,1,1,13,10,2.06,-0.75
2007,1,1,13,15,2.11,-0.73
2007,1,1,13,20,2.17,-0.72
2007,1,1,13,25,2.22,-0.7000000000000001
2007,1,1,13,30,2.25,-0.67
2007,1,1,13,35,2.27,-0.65
2007,1,1,13,40,2.3000000000000003,-0.64
2007,1,1,13,45,2.29,-0.62
2007,1,1,13,50,2.2600000000000002,-0.61
2007,1,1,13,55,2.21,-0.61
2007,1,1,14,0,2.14,-0.61
2007,1,1,14,5,2.1,-0.62
2007,1,1,14,10,2.06,-0.64
2007,1,1,14,15,2.0300000000000002,-0.66
2007,1,1,14,20,2.02,-0.7000000000000001
2007,1,1,14,25,2,-0.73
2007,1,1,14,30,1.97,-0.77
2007,1,1,14,35,1.93,-0.8
2007,1,1,14,40,1.8900000000000001,-0.84
2007,1,1,14,45,1.86,-0.87
2007,1,1,14,50,1.82,-0.91
2007,1,1,14,55,1.74,-0.9400000000000001
2007,1,1,15,0,1.68,-0.97
2007,1,1,15,5,1.6300000000000001,-1.01
2007,1,1,15,10,1.58,-1.05
2007,1,1,15,15,1.53,-1.08
2007,1,1,15,20,1.48,-1.12
