Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,91876,-,-,-,34.89,-117.06,0,665,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2012,1,1,0,0,38,479,100,-6,82.63,0.225,1.6,28.72,12,940,N/A
2012,1,1,0,30,17,193,24,-6,87.81,0.225,1.6,30.7,11,940,N/A
2012,1,1,1,0,0,0,0,-7,93.23,0.225,1.7000000000000002,30.150000000000002,10,940,N/A
2012,1,1,1,30,0,0,0,-7,98.84,0.225,1.7000000000000002,32.27,10,940,N/A
2012,1,1,2,0,0,0,0,-7,104.62,0.225,1.7000000000000002,31.37,10,940,N/A
2012,1,1,2,30,0,0,0,-7,110.52,0.225,1.7000000000000002,31.37,9,940,N/A
2012,1,1,3,0,0,0,0,-8,116.52,0.225,1.7000000000000002,30.970000000000002,9,940,N/A
2012,1,1,3,30,0,0,0,-8,122.60000000000001,0.225,1.7000000000000002,33.160000000000004,8,940,N/A
2012,1,1,4,0,0,0,0,-8,128.72,0.225,1.7000000000000002,32.78,8,940,N/A
2012,1,1,4,30,0,0,0,-8,134.87,0.225,1.7000000000000002,35.12,8,940,N/A
2012,1,1,5,0,0,0,0,-8,141,0.225,1.7000000000000002,34.57,8,940,N/A
2012,1,1,5,30,0,0,0,-8,147.08,0.225,1.6,34.58,7,940,N/A
2012,1,1,6,0,0,0,0,-8,153.02,0.225,1.6,33.95,7,940,N/A
2012,1,1,6,30,0,0,0,-8,158.67000000000002,0.225,1.6,36.4,6,940,N/A
2012,1,1,7,0,0,0,0,-9,163.68,0.225,1.6,35.59,6,940,N/A
2012,1,1,7,30,0,0,0,-9,167.25,0.225,1.6,35.59,6,940,N/A
2012,1,1,8,0,0,0,0,-9,168,0.225,1.6,34.660000000000004,6,940,N/A
2012,1,1,8,30,0,0,0,-9,165.47,0.225,1.6,37.17,5,940,N/A
