Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,91876,-,-,-,34.89,-117.06,0,665,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Solar Zenith Angle,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2015,1,1,0,0,40,469,101,-10,82.59,0.221,1.2000000000000002,41.25,2,930,N/A
2015,1,1,0,30,17,189,24,-10,87.77,0.221,1.2000000000000002,44.34,1,930,N/A
2015,1,1,1,0,0,0,0,-12,93.19,0.221,1.2000000000000002,39.03,1,930,N/A
2015,1,1,1,30,0,0,0,-12,98.81,0.221,1.2000000000000002,39.03,0,930,N/A
2015,1,1,2,0,0,0,0,-12,104.58,0.221,1.2000000000000002,37.94,0,930,N/A
2015,1,1,2,30,0,0,0,-12,110.49000000000001,0.221,1.2000000000000002,37.95,0,930,N/A
2015,1,1,3,0,0,0,0,-12,116.49000000000001,0.221,1.2000000000000002,37.83,0,930,N/A
2015,1,1,3,30,0,0,0,-12,122.56,0.221,1.2000000000000002,37.83,0,930,N/A
2015,1,1,4,0,0,0,0,-12,128.69,0.221,1.3,41.07,0,930,N/A
2015,1,1,4,30,0,0,0,-12,134.83,0.221,1.3,41.08,0,930,N/A
2015,1,1,5,0,0,0,0,-12,140.97,0.221,1.4000000000000001,45.04,0,930,N/A
2015,1,1,5,30,0,0,0,-12,147.05,0.221,1.4000000000000001,45.050000000000004,0,930,N/A
2015,1,1,6,0,0,0,0,-12,152.99,0.221,1.4000000000000001,45.42,-1,930,N/A
2015,1,1,6,30,0,0,0,-12,158.63,0.221,1.4000000000000001,45.43,-1,930,N/A
2015,1,1,7,0,0,0,0,-12,163.65,0.221,1.4000000000000001,45.26,-1,930,N/A
2015,1,1,7,30,0,0,0,-12,167.22,0.221,1.4000000000000001,45.26,-1,930,N/A
2015,1,1,8,0,0,0,0,-12,167.98,0.221,1.5,47.550000000000004,-1,930,N/A
2015,1,1,8,30,0,0,0,-12,165.47,0.221,1.5,47.550000000000004,-1,930,N/A
2015,1,1,9,0,0,0,0,-13,160.95000000000002,0.221,1.6,44.96,-1,930,N/A
2015,1,1,9,30,0,0,0,-13,155.51,0.221,1.7000000000000002,44.97,-1,930,N/A
2015,1,1,10,0,0,0,0,-14,149.68,0.221,1.9000000000000001,41.02,-2,930,N/A
2015,1,1,10,30,0,0,0,-14,143.65,0.221,1.9000000000000001,41.02,-1,930,N/A
2015,1,1,11,0,0,0,0,-15,137.53,0.221,2,37.17,-1,930,N/A
2015,1,1,11,30,0,0,0,-15,131.38,0.221,1.9000000000000001,37.18,-1,930,N/A
2015,1,1,12,0,0,0,0,-16,125.24000000000001,0.221,1.8,35.45,-1,930,N/A
2015,1,1,12,30,0,0,0,-16,119.14,0.221,1.6,35.46,-1,930,N/A
2015,1,1,13,0,0,0,0,-16,113.10000000000001,0.221,1.5,34.980000000000004,-1,930,N/A
2015,1,1,13,30,0,0,0,-16,107.15,0.221,1.4000000000000001,32.49,-1,930,N/A
2015,1,1,14,0,0,0,0,-16,101.31,0.221,1.4000000000000001,31.98,-1,930,N/A
2015,1,1,14,30,0,0,0,-16,95.62,0.221,1.2000000000000002,29.73,0,930,N/A
2015,1,1,15,0,0,0,0,-14,90.10000000000001,0.221,1.1,34.79,0,930,N/A
2015,1,1,15,30,27,469,70,-14,84.8,0.221,1.5,32.36,1,930,N/A
2015,1,1,16,0,42,660,159,-16,79.77,0.221,1.9000000000000001,25.02,2,930,N/A
2015,1,1,16,30,52,771,250,-16,75.07000000000001,0.221,2.4000000000000004,23.3,3,930,N/A
2015,1,1,17,0,59,844,337,-19,70.76,0.221,2.9000000000000004,17.26,4,940,N/A
2015,1,1,17,30,64,891,413,-19,66.93,0.221,3,17.26,4,930,N/A
2015,1,1,18,0,70,917,477,-18,63.65,0.221,3.1,17.55,5,930,N/A
2015,1,1,18,30,73,939,528,-18,61.03,0.221,3,17.54,5,930,N/A
2015,1,1,19,0,75,954,564,-17,59.15,0.221,2.9000000000000004,17.93,6,930,N/A
2015,1,1,19,30,76,962,584,-17,58.09,0.221,2.8000000000000003,17.92,6,930,N/A
2015,1,1,20,0,76,963,588,-16,57.89,0.221,2.8000000000000003,18.13,7,930,N/A
2015,1,1,20,30,75,958,575,-16,58.56,0.221,2.8000000000000003,18.12,7,930,N/A
2015,1,1,21,0,76,939,545,-15,60.07,0.221,2.8000000000000003,19.28,8,930,N/A
2015,1,1,21,30,73,919,500,-15,62.36,0.221,2.7,19.28,8,930,N/A
2015,1,1,22,0,70,891,441,-15,65.35,0.221,2.6,20.2,8,930,N/A
2015,1,1,22,30,65,850,370,-15,68.94,0.221,1.9000000000000001,21.650000000000002,7,930,N/A
2015,1,1,23,0,58,791,289,-10,73.04,0.221,1.3,31.87,6,930,N/A
2015,1,1,23,30,49,701,200,-10,77.57000000000001,0.221,1,36.67,5,930,N/A
2015,1,2,0,0,36,555,109,-11,82.46000000000001,0.221,0.7000000000000001,36.17,4,930,N/A
2015,1,2,0,30,17,279,28,-11,87.63,0.221,0.7000000000000001,38.85,3,930,N/A
2015,1,2,1,0,0,0,0,-13,93.06,0.221,0.7000000000000001,33.09,3,930,N/A
2015,1,2,1,30,0,0,0,-13,98.67,0.221,0.9,35.57,2,930,N/A
2015,1,2,2,0,0,0,0,-13,104.45,0.221,1.1,35.19,2,930,N/A
2015,1,2,2,30,0,0,0,-13,110.35000000000001,0.221,1.2000000000000002,35.19,1,930,N/A
2015,1,2,3,0,0,0,0,-13,116.35000000000001,0.221,1.3,35.59,1,930,N/A
2015,1,2,3,30,0,0,0,-13,122.43,0.221,1.3,35.59,1,930,N/A
2015,1,2,4,0,0,0,0,-13,128.55,0.221,1.3,34.95,1,930,N/A
2015,1,2,4,30,0,0,0,-13,134.7,0.221,1.2000000000000002,34.95,1,930,N/A
2015,1,2,5,0,0,0,0,-13,140.83,0.221,1.2000000000000002,34.49,1,930,N/A
2015,1,2,5,30,0,0,0,-13,146.91,0.221,1.1,34.49,1,930,N/A
2015,1,2,6,0,0,0,0,-13,152.85,0.221,1.1,34.2,1,930,N/A
2015,1,2,6,30,0,0,0,-13,158.5,0.221,1,34.2,1,930,N/A
2015,1,2,7,0,0,0,0,-14,163.51,0.221,1,33.71,1,930,N/A
2015,1,2,7,30,0,0,0,-14,167.11,0.221,0.9,33.71,1,930,N/A
2015,1,2,8,0,0,0,0,-14,167.91,0.221,0.8,33.36,1,930,N/A
2015,1,2,8,30,0,0,0,-14,165.46,0.221,0.7000000000000001,33.35,1,930,N/A
2015,1,2,9,0,0,0,0,-14,160.97,0.221,0.7000000000000001,33.230000000000004,1,930,N/A
2015,1,2,9,30,0,0,0,-14,155.56,0.221,0.7000000000000001,33.230000000000004,1,930,N/A
2015,1,2,10,0,0,0,0,-14,149.73,0.221,0.7000000000000001,33.37,2,930,N/A
2015,1,2,10,30,0,0,0,-14,143.70000000000002,0.221,0.6000000000000001,33.37,2,930,N/A
2015,1,2,11,0,0,0,0,-14,137.58,0.221,0.6000000000000001,33.39,2,930,N/A
2015,1,2,11,30,0,0,0,-14,131.44,0.221,0.6000000000000001,33.39,2,930,N/A
2015,1,2,12,0,0,0,0,-14,125.3,0.221,0.6000000000000001,33.94,2,930,N/A
2015,1,2,12,30,0,0,0,-14,119.19,0.221,0.6000000000000001,33.95,2,930,N/A
2015,1,2,13,0,0,0,0,-13,113.15,0.221,0.6000000000000001,34.160000000000004,2,930,N/A
2015,1,2,13,30,0,0,0,-13,107.19,0.221,0.6000000000000001,34.160000000000004,2,930,N/A
2015,1,2,14,0,0,0,0,-13,101.35000000000001,0.221,0.6000000000000001,34.660000000000004,2,930,N/A
2015,1,2,14,30,0,0,0,-13,95.65,0.221,0.5,34.67,2,930,N/A
2015,1,2,15,0,0,0,0,-12,90.13,0.221,0.5,35.84,2,930,N/A
2015,1,2,15,30,26,482,70,-12,84.83,0.221,0.6000000000000001,33.38,3,940,N/A
2015,1,2,16,0,40,670,158,-11,79.79,0.221,0.7000000000000001,33.59,4,940,N/A
2015,1,2,16,30,49,778,249,-11,75.08,0.221,0.8,31.310000000000002,5,940,N/A
2015,1,2,17,0,55,846,334,-13,70.76,0.221,1,25.17,7,940,N/A
2015,1,2,17,30,60,892,410,-13,66.91,0.221,1.4000000000000001,23.490000000000002,8,940,N/A
2015,1,2,18,0,66,918,474,-13,63.620000000000005,0.221,1.8,20.29,9,940,N/A
2015,1,2,18,30,68,940,524,-13,60.980000000000004,0.221,1.9000000000000001,20.28,9,930,N/A
2015,1,2,19,0,70,955,560,-12,59.09,0.221,2.1,19.79,10,930,N/A
2015,1,2,19,30,71,962,580,-12,58.01,0.221,2.2,19.78,10,930,N/A
2015,1,2,20,0,71,964,585,-12,57.800000000000004,0.221,2.3000000000000003,20.8,11,930,N/A
2015,1,2,20,30,70,960,572,-12,58.46,0.221,2.3000000000000003,20.8,11,930,N/A
2015,1,2,21,0,67,953,544,-11,59.96,0.221,2.3000000000000003,21.67,11,930,N/A
2015,1,2,21,30,64,935,500,-11,62.24,0.221,2,21.67,10,930,N/A
2015,1,2,22,0,61,909,442,-11,65.22,0.221,1.9000000000000001,22.45,10,930,N/A
2015,1,2,22,30,57,870,372,-11,68.8,0.221,1.4000000000000001,24.02,9,930,N/A
2015,1,2,23,0,51,813,290,-6,72.9,0.221,1,38.49,8,930,N/A
2015,1,2,23,30,44,726,202,-6,77.43,0.221,0.9,44.19,7,930,N/A
2015,1,3,0,0,33,587,111,-8,82.32000000000001,0.221,0.9,39.550000000000004,6,930,N/A
2015,1,3,0,30,16,327,30,-8,87.49,0.221,0.7000000000000001,39.550000000000004,5,930,N/A
2015,1,3,1,0,0,0,0,-10,92.92,0.221,0.6000000000000001,34.61,5,930,N/A
2015,1,3,1,30,0,0,0,-10,98.53,0.221,0.4,37.14,5,930,N/A
2015,1,3,2,0,0,0,0,-10,104.31,0.221,0.30000000000000004,36.25,5,930,N/A
2015,1,3,2,30,0,0,0,-10,110.21000000000001,0.221,0.4,36.25,4,930,N/A
2015,1,3,3,0,0,0,0,-10,116.21000000000001,0.221,0.5,35.6,4,930,N/A
2015,1,3,3,30,0,0,0,-10,122.29,0.221,0.6000000000000001,38.22,4,930,N/A
2015,1,3,4,0,0,0,0,-10,128.42000000000002,0.221,0.7000000000000001,38.1,4,930,N/A
2015,1,3,4,30,0,0,0,-10,134.56,0.221,0.7000000000000001,38.1,3,930,N/A
2015,1,3,5,0,0,0,0,-10,140.70000000000002,0.221,0.8,38.17,3,930,N/A
2015,1,3,5,30,0,0,0,-10,146.77,0.221,0.8,38.17,3,930,N/A
2015,1,3,6,0,0,0,0,-10,152.71,0.221,0.9,38.17,3,930,N/A
2015,1,3,6,30,0,0,0,-10,158.36,0.221,1,41.01,3,930,N/A
2015,1,3,7,0,0,0,0,-10,163.37,0.221,1.1,41.29,3,930,N/A
2015,1,3,7,30,0,0,0,-10,166.98,0.221,1.1,41.300000000000004,2,930,N/A
2015,1,3,8,0,0,0,0,-10,167.83,0.221,1.2000000000000002,41.67,2,930,N/A
2015,1,3,8,30,0,0,0,-10,165.43,0.221,1.2000000000000002,44.79,2,930,N/A
2015,1,3,9,0,0,0,0,-10,160.98,0.221,1.3,45.31,2,930,N/A
2015,1,3,9,30,0,0,0,-10,155.59,0.221,1.3,45.31,1,930,N/A
2015,1,3,10,0,0,0,0,-10,149.77,0.221,1.4000000000000001,45.96,1,930,N/A
2015,1,3,10,30,0,0,0,-10,143.75,0.221,1.4000000000000001,45.96,1,930,N/A
2015,1,3,11,0,0,0,0,-10,137.64000000000001,0.221,1.4000000000000001,46.62,1,930,N/A
2015,1,3,11,30,0,0,0,-10,131.49,0.221,1.4000000000000001,46.63,0,930,N/A
2015,1,3,12,0,0,0,0,-9,125.35000000000001,0.221,1.4000000000000001,47.43,0,940,N/A
2015,1,3,12,30,0,0,0,-9,119.24000000000001,0.221,1.3,47.44,0,940,N/A
2015,1,3,13,0,0,0,0,-9,113.19,0.221,1.3,48,0,940,N/A
2015,1,3,13,30,0,0,0,-9,107.24000000000001,0.221,1.2000000000000002,48,0,940,N/A
2015,1,3,14,0,0,0,0,-9,101.39,0.221,1.2000000000000002,48.27,1,940,N/A
2015,1,3,14,30,0,0,0,-9,95.68,0.221,1.1,48.28,1,940,N/A
2015,1,3,15,0,0,0,0,-8,90.15,0.221,1,52.79,2,940,N/A
2015,1,3,15,30,25,493,69,-8,84.84,0.221,1.2000000000000002,49.14,3,940,N/A
2015,1,3,16,0,37,674,157,-8,79.8,0.221,1.5,43.67,4,940,N/A
2015,1,3,16,30,46,779,247,-8,75.07000000000001,0.221,1.4000000000000001,40.72,5,940,N/A
2015,1,3,17,0,53,844,331,-8,70.74,0.221,1.3,36.910000000000004,6,940,N/A
2015,1,3,17,30,57,889,407,-8,66.88,0.221,1.1,34.43,7,940,N/A
2015,1,3,18,0,65,908,469,-8,63.58,0.221,1,30.36,9,940,N/A
2015,1,3,18,30,67,930,519,-8,60.93,0.221,1,28.37,10,940,N/A
2015,1,3,19,0,69,942,555,-7,59.02,0.221,1,27.45,11,940,N/A
2015,1,3,19,30,70,949,575,-7,57.93,0.221,1.1,27.44,11,940,N/A
2015,1,3,20,0,70,950,578,-7,57.7,0.221,1.3,26.59,12,940,N/A
2015,1,3,20,30,70,945,566,-7,58.35,0.221,1.3,26.59,12,940,N/A
2015,1,3,21,0,71,927,537,-7,59.84,0.221,1.4000000000000001,27.37,13,940,N/A
2015,1,3,21,30,68,908,493,-7,62.11,0.221,1.3,27.37,13,940,N/A
2015,1,3,22,0,65,882,436,-6,65.08,0.221,1.3,26.39,13,940,N/A
2015,1,3,22,30,60,841,367,-6,68.66,0.221,0.9,28.19,12,940,N/A
2015,1,3,23,0,54,783,286,-2,72.76,0.221,0.6000000000000001,41,12,940,N/A
2015,1,3,23,30,46,696,199,-2,77.29,0.221,0.5,43.85,10,940,N/A
2015,1,4,0,0,34,555,110,-5,82.17,0.221,0.4,39.31,9,940,N/A
2015,1,4,0,30,17,300,31,-5,87.35000000000001,0.221,0.4,42.09,8,940,N/A
2015,1,4,1,0,0,0,0,-5,92.77,0.221,0.4,39.57,8,940,N/A
2015,1,4,1,30,0,0,0,-5,98.39,0.221,0.6000000000000001,42.39,7,940,N/A
2015,1,4,2,0,0,0,0,-5,104.17,0.221,0.9,42.2,7,940,N/A
2015,1,4,2,30,0,0,0,-5,110.07000000000001,0.221,1,45.230000000000004,6,940,N/A
2015,1,4,3,0,0,0,0,-5,116.07000000000001,0.221,1.2000000000000002,48.47,6,940,N/A
2015,1,4,3,30,0,0,0,-5,122.15,0.221,1.2000000000000002,48.480000000000004,5,940,N/A
2015,1,4,4,0,0,0,0,-5,128.28,0.221,1.2000000000000002,48.34,5,940,N/A
2015,1,4,4,30,0,0,0,-5,134.42000000000002,0.221,1.1,48.35,5,940,N/A
2015,1,4,5,0,0,0,0,-5,140.56,0.221,1.1,48.14,5,940,N/A
2015,1,4,5,30,0,0,0,-5,146.63,0.221,1,48.15,5,940,N/A
2015,1,4,6,0,0,0,0,-6,152.57,0.221,0.9,48.050000000000004,5,940,N/A
2015,1,4,6,30,0,0,0,-6,158.21,0.221,0.9,48.050000000000004,5,940,N/A
2015,1,4,7,0,0,0,0,-6,163.23,0.221,0.9,48.050000000000004,5,940,N/A
2015,1,4,7,30,0,0,0,-6,166.85,0.221,0.9,51.56,5,940,N/A
2015,1,4,8,0,0,0,0,-6,167.75,0.221,1,51.24,5,940,N/A
2015,1,4,8,30,0,0,0,-6,165.41,0.221,1,51.24,4,940,N/A
2015,1,4,9,0,0,0,0,-6,160.99,0.221,1.1,51,4,940,N/A
2015,1,4,9,30,0,0,0,-6,155.62,0.221,1,54.76,4,940,N/A
2015,1,4,10,0,0,0,0,-6,149.81,0.221,1,54.620000000000005,4,940,N/A
2015,1,4,10,30,0,0,0,-6,143.79,0.221,0.8,54.61,4,940,N/A
2015,1,4,11,0,0,0,0,-6,137.68,0.221,0.7000000000000001,54.49,4,940,N/A
2015,1,4,11,30,0,0,0,-6,131.54,0.221,0.7000000000000001,54.49,3,940,N/A
2015,1,4,12,0,0,0,0,-6,125.39,0.221,0.7000000000000001,54.36,3,940,N/A
2015,1,4,12,30,0,0,0,-6,119.28,0.221,0.7000000000000001,58.410000000000004,3,940,N/A
2015,1,4,13,0,0,0,0,-6,113.24000000000001,0.221,0.8,58.19,3,940,N/A
2015,1,4,13,30,0,0,0,-6,107.27,0.221,0.8,58.21,2,940,N/A
2015,1,4,14,0,0,0,0,-6,101.42,0.221,0.8,57.95,2,940,N/A
2015,1,4,14,30,0,0,0,-6,95.71000000000001,0.221,0.8,57.97,2,940,N/A
2015,1,4,15,0,0,0,0,-5,90.17,0.221,0.8,60.94,3,940,N/A
2015,1,4,15,30,26,446,66,-5,84.85000000000001,0.221,1,56.76,4,940,N/A
2015,1,4,16,0,41,630,152,-4,79.8,0.221,1.3,52.01,6,940,N/A
2015,1,4,16,30,50,741,241,-4,75.07000000000001,0.221,1.5,48.51,7,940,N/A
2015,1,4,17,0,59,805,325,-5,70.72,0.221,1.7000000000000002,40.64,8,940,N/A
2015,1,4,17,30,65,854,401,-5,66.85,0.221,1.9000000000000001,37.95,9,940,N/A
2015,1,4,18,0,65,900,466,-5,63.53,0.221,2.2,35.69,11,940,N/A
2015,1,4,18,30,68,922,517,-5,60.870000000000005,0.221,2.2,33.36,12,940,N/A
2015,1,4,19,0,162,564,453,-5,58.94,0.221,2.3000000000000003,30.69,13,940,N/A
2015,1,4,19,30,215,396,426,-5,57.84,0.221,2.2,28.72,13,940,N/A
2015,1,4,20,0,194,493,458,-5,57.59,0.221,2.2,26.6,14,940,N/A
2015,1,4,20,30,193,478,445,-5,58.230000000000004,0.221,2.1,26.59,14,940,N/A
2015,1,4,21,0,205,374,394,-5,59.71,0.221,2.1,24.88,15,940,N/A
2015,1,4,21,30,197,312,344,-5,61.97,0.221,2,26.55,14,940,N/A
2015,1,4,22,0,174,303,302,-4,64.94,0.221,2,29.23,14,940,N/A
2015,1,4,22,30,153,216,232,-4,68.52,0.221,1.8,31.21,13,940,N/A
2015,1,4,23,0,54,785,289,-1,72.61,0.221,1.6,41.300000000000004,12,940,N/A
2015,1,4,23,30,46,699,202,-1,77.14,0.221,1.5,50.5,10,940,N/A
2015,1,5,0,0,34,566,113,-2,82.02,0.221,1.5,52.71,8,940,N/A
2015,1,5,0,30,33,0,33,-2,87.2,0.221,1.5,56.51,6,940,N/A
2015,1,5,1,0,0,0,0,-4,92.63,0.221,1.6,55.46,5,940,N/A
2015,1,5,1,30,0,0,0,-4,98.25,0.221,1.6,59.53,4,940,N/A
2015,1,5,2,0,0,0,0,-4,104.02,0.221,1.6,57.57,4,940,N/A
2015,1,5,2,30,0,0,0,-4,109.93,0.221,1.5,61.82,4,940,N/A
2015,1,5,3,0,0,0,0,-4,115.93,0.221,1.4000000000000001,60.14,4,940,N/A
2015,1,5,3,30,0,0,0,-4,122.01,0.221,1.2000000000000002,60.14,4,940,N/A
2015,1,5,4,0,0,0,0,-5,128.14000000000001,0.221,1.2000000000000002,54.86,4,940,N/A
2015,1,5,4,30,0,0,0,-5,134.28,0.221,1,54.85,4,940,N/A
2015,1,5,5,0,0,0,0,-5,140.42000000000002,0.221,0.9,54,4,940,N/A
2015,1,5,5,30,0,0,0,-5,146.49,0.221,0.8,53.99,4,940,N/A
2015,1,5,6,0,0,0,0,-5,152.42000000000002,0.221,0.8,53.050000000000004,4,940,N/A
2015,1,5,6,30,0,0,0,-5,158.06,0.221,0.9,56.95,4,940,N/A
2015,1,5,7,0,0,0,0,-5,163.08,0.221,1.1,56.53,4,940,N/A
2015,1,5,7,30,0,0,0,-5,166.71,0.221,1.1,56.53,3,940,N/A
2015,1,5,8,0,0,0,0,-5,167.65,0.221,1.2000000000000002,56.31,3,940,N/A
2015,1,5,8,30,0,0,0,-5,165.37,0.221,1.2000000000000002,56.31,3,940,N/A
2015,1,5,9,0,0,0,0,-5,160.99,0.221,1.2000000000000002,55.870000000000005,3,940,N/A
2015,1,5,9,30,0,0,0,-5,155.64000000000001,0.221,1.2000000000000002,55.86,3,940,N/A
2015,1,5,10,0,0,0,0,-6,149.84,0.221,1.2000000000000002,55.32,3,940,N/A
2015,1,5,10,30,0,0,0,-6,143.83,0.221,1.2000000000000002,55.31,3,940,N/A
2015,1,5,11,0,0,0,0,-6,137.72,0.221,1.3,55.15,3,940,N/A
2015,1,5,11,30,0,0,0,-6,131.58,0.221,1.3,59.25,3,940,N/A
2015,1,5,12,0,0,0,0,-6,125.43,0.221,1.4000000000000001,59.53,3,940,N/A
2015,1,5,12,30,0,0,0,-6,119.32000000000001,0.221,1.4000000000000001,59.54,3,940,N/A
2015,1,5,13,0,0,0,0,-5,113.27,0.221,1.4000000000000001,55.44,3,940,N/A
2015,1,5,13,30,0,0,0,-5,107.3,0.221,1.3,55.44,3,940,N/A
2015,1,5,14,0,0,0,0,-6,101.45,0.221,1.3,55.27,4,940,N/A
2015,1,5,14,30,0,0,0,-6,95.73,0.221,1.2000000000000002,51.49,4,940,N/A
2015,1,5,15,0,0,0,0,-5,90.18,0.221,1.1,51.79,5,940,N/A
2015,1,5,15,30,24,473,67,-5,84.86,0.221,1.1,45.07,7,940,N/A
2015,1,5,16,0,36,659,153,-2,79.8,0.221,1.1,46.49,9,940,N/A
2015,1,5,16,30,45,766,243,-2,75.05,0.221,1.4000000000000001,43.45,10,940,N/A
2015,1,5,17,0,50,837,327,-4,70.7,0.221,1.7000000000000002,33.45,12,940,N/A
2015,1,5,17,30,55,883,402,-4,66.81,0.221,2.2,31.3,13,940,N/A
2015,1,5,18,0,61,906,466,-4,63.480000000000004,0.221,2.7,27.36,15,940,N/A
2015,1,5,18,30,64,928,517,-4,60.800000000000004,0.221,2.9000000000000004,25.64,16,940,N/A
