Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,100293,-,-,-,35.69,-105.94,-7,2166,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2014,1,1,0,0,0,0,0,0.155,1.4000000000000001,68.18,-3,780,N/A
2014,1,1,0,30,0,0,0,0.155,1.4000000000000001,68.17,-3,780,N/A
2014,1,1,1,0,0,0,0,0.155,1.4000000000000001,67.55,-3,780,N/A
2014,1,1,1,30,0,0,0,0.155,1.5,67.53,-3,780,N/A
2014,1,1,2,0,0,0,0,0.155,1.6,67.12,-3,780,N/A
2014,1,1,2,30,0,0,0,0.155,1.6,67.11,-3,780,N/A
2014,1,1,3,0,0,0,0,0.155,1.7000000000000002,66.9,-3,780,N/A
2014,1,1,3,30,0,0,0,0.155,1.8,66.88,-3,780,N/A
2014,1,1,4,0,0,0,0,0.155,1.9000000000000001,66.73,-3,780,N/A
2014,1,1,4,30,0,0,0,0.155,1.9000000000000001,66.73,-3,780,N/A
2014,1,1,5,0,0,0,0,0.155,1.9000000000000001,71.76,-3,780,N/A
2014,1,1,5,30,0,0,0,0.155,1.9000000000000001,71.76,-3,780,N/A
2014,1,1,6,0,0,0,0,0.155,1.9000000000000001,71.99,-4,780,N/A
2014,1,1,6,30,0,0,0,0.155,1.9000000000000001,71.99,-4,780,N/A
2014,1,1,7,0,0,0,0,0.155,2,72.93,-4,780,N/A
2014,1,1,7,30,27,0,27,0.155,2.4000000000000004,67.7,-2,780,N/A
2014,1,1,8,0,28,643,109,0.155,2.9000000000000004,65.57000000000001,-1,780,N/A
2014,1,1,8,30,37,786,201,0.155,3.5,56.68,0,780,N/A
2014,1,1,9,0,42,874,291,0.155,4.2,55.83,1,780,N/A
2014,1,1,9,30,47,929,373,0.155,4.6000000000000005,51.980000000000004,2,780,N/A
2014,1,1,10,0,49,970,445,0.155,5,49.69,4,780,N/A
2014,1,1,10,30,51,995,503,0.155,5,46.300000000000004,5,780,N/A
2014,1,1,11,0,56,1007,548,0.155,5,40.84,6,780,N/A
2014,1,1,11,30,57,1018,576,0.155,4.9,40.82,6,780,N/A
2014,1,1,12,0,56,1024,589,0.155,4.800000000000001,34.6,7,780,N/A
2014,1,1,12,30,56,1023,585,0.155,4.6000000000000005,34.59,7,780,N/A
2014,1,1,13,0,56,1016,565,0.155,4.6000000000000005,29.87,7,780,N/A
2014,1,1,13,30,54,1003,528,0.155,4.3,32,6,780,N/A
2014,1,1,14,0,53,981,477,0.155,4.1000000000000005,31.46,6,780,N/A
2014,1,1,14,30,50,952,412,0.155,3.1,33.730000000000004,5,780,N/A
2014,1,1,15,0,46,909,336,0.155,2.3000000000000003,37.2,5,780,N/A
2014,1,1,15,30,41,844,249,0.155,1.8,45.97,2,780,N/A
2014,1,1,16,0,33,740,157,0.155,1.4000000000000001,56.44,0,780,N/A
2014,1,1,16,30,22,550,67,0.155,1.4000000000000001,60.730000000000004,0,780,N/A
2014,1,1,17,0,0,0,0,0.155,1.4000000000000001,60.33,-1,780,N/A
2014,1,1,17,30,0,0,0,0.155,1.4000000000000001,60.370000000000005,-1,780,N/A
2014,1,1,18,0,0,0,0,0.155,1.4000000000000001,60.53,-2,780,N/A
2014,1,1,18,30,0,0,0,0.155,1.4000000000000001,60.56,-2,780,N/A
2014,1,1,19,0,0,0,0,0.155,1.4000000000000001,60.13,-2,780,N/A
2014,1,1,19,30,0,0,0,0.155,1.4000000000000001,60.15,-2,780,N/A
2014,1,1,20,0,0,0,0,0.155,1.4000000000000001,63.34,-2,790,N/A
2014,1,1,20,30,0,0,0,0.155,1.3,63.36,-2,790,N/A
2014,1,1,21,0,0,0,0,0.155,1.3,62.82,-3,790,N/A
2014,1,1,21,30,0,0,0,0.155,1.2000000000000002,62.83,-3,790,N/A
2014,1,1,22,0,0,0,0,0.155,1.2000000000000002,61.160000000000004,-3,790,N/A
2014,1,1,22,30,0,0,0,0.155,1.1,61.160000000000004,-3,790,N/A
2014,1,1,23,0,0,0,0,0.155,1.1,59.480000000000004,-3,790,N/A
2014,1,1,23,30,0,0,0,0.155,1.1,59.480000000000004,-3,790,N/A
2014,1,2,0,0,0,0,0,0.155,1.1,58.96,-3,790,N/A
2014,1,2,0,30,0,0,0,0.155,1,58.96,-3,790,N/A
2014,1,2,1,0,0,0,0,0.155,1,59.01,-3,790,N/A
2014,1,2,1,30,0,0,0,0.155,0.9,59.01,-3,790,N/A
2014,1,2,2,0,0,0,0,0.155,0.9,62.910000000000004,-3,790,N/A
2014,1,2,2,30,0,0,0,0.155,0.8,62.9,-3,790,N/A
2014,1,2,3,0,0,0,0,0.155,0.7000000000000001,61.64,-4,790,N/A
2014,1,2,3,30,0,0,0,0.155,0.6000000000000001,61.63,-4,790,N/A
2014,1,2,4,0,0,0,0,0.155,0.5,64.84,-4,790,N/A
2014,1,2,4,30,0,0,0,0.155,0.5,64.84,-4,790,N/A
2014,1,2,5,0,0,0,0,0.155,0.6000000000000001,62.480000000000004,-5,790,N/A
2014,1,2,5,30,0,0,0,0.155,0.7000000000000001,62.480000000000004,-5,790,N/A
2014,1,2,6,0,0,0,0,0.155,0.9,64.63,-5,790,N/A
2014,1,2,6,30,0,0,0,0.155,1,59.9,-5,790,N/A
2014,1,2,7,0,0,0,0,0.155,1.1,58.7,-5,790,N/A
2014,1,2,7,30,13,435,28,0.155,1.3,50.53,-3,790,N/A
2014,1,2,8,0,25,699,112,0.155,1.6,50.11,-2,790,N/A
2014,1,2,8,30,32,831,205,0.155,1.8,46.57,-1,790,N/A
2014,1,2,9,0,38,908,295,0.155,2.1,40.75,0,790,N/A
2014,1,2,9,30,41,957,377,0.155,2.3000000000000003,37.92,1,790,N/A
2014,1,2,10,0,44,990,448,0.155,2.6,31.02,3,790,N/A
2014,1,2,10,30,46,1011,506,0.155,2.6,28.900000000000002,4,790,N/A
2014,1,2,11,0,53,1015,550,0.155,2.7,26.7,6,790,N/A
